s,kg,kg,kg
Time,Total,BACKGROUND,SCALAR
 0.0000000E+000, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.2316145E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.4632290E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.4469099E-002, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 8.4305905E-002, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 1.0202020E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 1.1973448E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 1.3744877E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 1.5516305E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 1.7287734E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 1.9059163E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 2.0830591E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 2.2602020E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 2.4373449E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 2.6144877E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 2.7916306E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 2.9687735E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 3.1459165E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 3.3230594E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 3.5002020E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 3.6773449E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 3.8544878E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 4.0316308E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 4.2087737E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 4.3859166E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 4.5807737E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.7756308E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.9899736E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 5.2257508E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 5.4615277E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 5.6583858E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 5.8552438E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 6.0319835E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 6.2087232E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 6.3854629E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 6.5622026E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 6.7389417E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 6.9156814E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 7.0924211E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 7.2691607E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 7.4459004E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 7.6226401E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 7.7993798E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 7.9761189E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 8.1528586E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 8.3295983E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 8.5063380E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 8.6830777E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 8.8598174E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 9.0365571E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 9.2132962E-001, 1.2000000E+000, 1.0000000E+000, 1.9999998E-001
 9.3900359E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 9.5844495E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 9.7788632E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 9.9927181E-001, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
 1.0000000E+000, 1.2000000E+000, 1.0000000E+000, 1.9999999E-001
